2024-12-05 11:34:08 - Ticketing System Started
2024-12-05 11:34:11 - Config file successfully loaded.
2024-12-05 11:34:14 - TicketPool initialized with max capacity: 15
2024-12-05 11:34:14 - Vendor thread 1 started.
2024-12-05 11:34:14 - Vendor thread 2 started.
2024-12-05 11:34:14 - Vendor thread 3 started.
2024-12-05 11:34:14 - Vendor thread 4 started.
2024-12-05 11:34:14 - Customer thread 1 started.
2024-12-05 11:34:14 - Customer thread 2 started.
2024-12-05 11:34:14 - Customer thread 3 started.
2024-12-05 11:34:14 - Customer thread 4 started.
2024-12-05 12:14:57 - Vendor-4 added ticket: 4-1, Tickets available: 4
2024-12-05 12:14:57 - Vendor-2 added ticket: 2-1, Tickets available: 4
2024-12-05 12:14:57 - Vendor-3 added ticket: 3-1, Tickets available: 4
2024-12-05 12:14:57 - Vendor-1 added ticket: 1-1, Tickets available: 4
2024-12-05 12:19:53 - Ticketing System Started
2024-12-05 12:20:03 - TicketPool initialized with max capacity: 10
2024-12-05 12:20:03 - Vendor thread 1 started.
2024-12-05 12:20:03 - Vendor thread 2 started.
2024-12-05 12:20:03 - Vendor thread 3 started.
2024-12-05 12:20:03 - Vendor thread 4 started.
2024-12-05 12:20:03 - Customer thread 1 started.
2024-12-05 12:20:03 - Customer thread 2 started.
2024-12-05 12:20:03 - Customer thread 3 started.
2024-12-05 12:20:03 - Customer thread 4 started.
2024-12-05 12:20:04 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:04 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:04 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:04 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:05 - Vendor-2 added ticket: 2-1, Tickets available: 4
2024-12-05 12:20:05 - Vendor-1 added ticket: 1-1, Tickets available: 4
2024-12-05 12:20:05 - Vendor-3 added ticket: 3-1, Tickets available: 4
2024-12-05 12:20:05 - Vendor-4 added ticket: 4-1, Tickets available: 4
2024-12-05 12:20:39 - Ticketing System Started
2024-12-05 12:20:41 - Config file successfully loaded.
2024-12-05 12:20:42 - TicketPool initialized with max capacity: 10
2024-12-05 12:20:42 - Vendor thread 1 started.
2024-12-05 12:20:42 - Vendor thread 2 started.
2024-12-05 12:20:42 - Vendor thread 3 started.
2024-12-05 12:20:42 - Vendor thread 4 started.
2024-12-05 12:20:42 - Customer thread 1 started.
2024-12-05 12:20:42 - Customer thread 2 started.
2024-12-05 12:20:42 - Customer thread 3 started.
2024-12-05 12:20:42 - Customer thread 4 started.
2024-12-05 12:20:43 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:43 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:43 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:43 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:20:44 - Vendor-1 added ticket: 1-1, Tickets available: 1
2024-12-05 12:20:44 - Vendor-4 added ticket: 4-1, Tickets available: 4
2024-12-05 12:20:44 - Vendor-2 added ticket: 2-1, Tickets available: 4
2024-12-05 12:20:44 - Vendor-3 added ticket: 3-1, Tickets available: 4
2024-12-05 12:25:28 - Ticketing System Started
2024-12-05 12:25:31 - Config file successfully loaded.
2024-12-05 12:25:32 - TicketPool initialized with max capacity: 10
2024-12-05 12:25:32 - Vendor thread 1 started.
2024-12-05 12:25:32 - Vendor thread 2 started.
2024-12-05 12:25:32 - Vendor thread 3 started.
2024-12-05 12:25:32 - Vendor thread 4 started.
2024-12-05 12:25:32 - Customer thread 1 started.
2024-12-05 12:25:32 - Customer thread 2 started.
2024-12-05 12:25:32 - Customer thread 3 started.
2024-12-05 12:25:32 - Customer thread 4 started.
2024-12-05 12:25:33 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:33 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:33 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:33 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:34 - Vendor-1 added ticket: 1-1, Tickets available: 1
2024-12-05 12:25:34 - Customer 2 bought ticket: 1-1, Tickets available: 0
2024-12-05 12:25:34 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:34 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:34 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:34 - Vendor-2 added ticket: 2-1, Tickets available: 1
2024-12-05 12:25:34 - Vendor-3 added ticket: 3-1, Tickets available: 2
2024-12-05 12:25:34 - Vendor-4 added ticket: 4-1, Tickets available: 3
2024-12-05 12:25:34 - Customer 3 bought ticket: 2-1, Tickets available: 2
2024-12-05 12:25:34 - Customer 1 bought ticket: 3-1, Tickets available: 1
2024-12-05 12:25:34 - Customer 4 bought ticket: 4-1, Tickets available: 0
2024-12-05 12:25:35 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:35 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:35 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:35 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:36 - Vendor-1 added ticket: 1-2, Tickets available: 1
2024-12-05 12:25:36 - Customer 2 bought ticket: 1-2, Tickets available: 0
2024-12-05 12:25:36 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:36 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:36 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:36 - Vendor-4 added ticket: 4-2, Tickets available: 1
2024-12-05 12:25:36 - Customer 4 bought ticket: 4-2, Tickets available: 0
2024-12-05 12:25:36 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:36 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:36 - Vendor-3 added ticket: 3-2, Tickets available: 1
2024-12-05 12:25:36 - Vendor-2 added ticket: 2-2, Tickets available: 2
2024-12-05 12:25:36 - Customer 1 bought ticket: 3-2, Tickets available: 1
2024-12-05 12:25:36 - Customer 3 bought ticket: 2-2, Tickets available: 0
2024-12-05 12:25:37 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:37 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:37 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:37 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Vendor-1 added ticket: 1-3, Tickets available: 1
2024-12-05 12:25:38 - Customer 2 bought ticket: 1-3, Tickets available: 0
2024-12-05 12:25:38 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Vendor-4 added ticket: 4-3, Tickets available: 1
2024-12-05 12:25:38 - Customer 3 bought ticket: 4-3, Tickets available: 0
2024-12-05 12:25:38 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Vendor-3 added ticket: 3-3, Tickets available: 1
2024-12-05 12:25:38 - Customer 4 bought ticket: 3-3, Tickets available: 0
2024-12-05 12:25:38 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:38 - Vendor-2 added ticket: 2-3, Tickets available: 1
2024-12-05 12:25:38 - Customer 1 bought ticket: 2-3, Tickets available: 0
2024-12-05 12:25:39 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:39 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:39 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:39 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Vendor-1 added ticket: 1-4, Tickets available: 1
2024-12-05 12:25:40 - Customer 2 bought ticket: 1-4, Tickets available: 0
2024-12-05 12:25:40 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Vendor-4 added ticket: 4-4, Tickets available: 1
2024-12-05 12:25:40 - Customer 1 bought ticket: 4-4, Tickets available: 0
2024-12-05 12:25:40 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Vendor-3 added ticket: 3-4, Tickets available: 1
2024-12-05 12:25:40 - Customer 3 bought ticket: 3-4, Tickets available: 0
2024-12-05 12:25:40 - Customer-4 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:40 - Vendor-2 tried to add tickets but no tickets available.
2024-12-05 12:25:41 - Customer-2 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:41 - Customer-1 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:25:41 - Customer-3 tried to buy a ticket but the pool is empty, waiting...
2024-12-05 12:26:43 - Ticketing System Started
2024-12-05 12:26:54 - TicketPool initialized with max capacity: 10
2024-12-05 12:26:54 - Vendor thread 1 started.
2024-12-05 12:26:54 - Vendor thread 2 started.
2024-12-05 12:26:54 - Vendor thread 3 started.
2024-12-05 12:26:54 - Vendor thread 4 started.
2024-12-05 12:26:54 - Customer thread 1 started.
2024-12-05 12:26:54 - Customer thread 2 started.
2024-12-05 12:26:54 - Customer thread 3 started.
2024-12-05 12:26:54 - Customer thread 4 started.
2024-12-05 12:26:55 - Vendor-3 added ticket: 3-1, Tickets available: 1
2024-12-05 12:26:55 - Vendor-1 added ticket: 1-1, Tickets available: 2
2024-12-05 12:26:55 - Vendor-4 added ticket: 4-1, Tickets available: 3
2024-12-05 12:26:55 - Vendor-2 added ticket: 2-1, Tickets available: 4
2024-12-05 12:26:56 - Customer 2 bought ticket: 3-1, Tickets available: 3
2024-12-05 12:26:56 - Customer 3 bought ticket: 1-1, Tickets available: 2
2024-12-05 12:26:56 - Customer 1 bought ticket: 4-1, Tickets available: 1
2024-12-05 12:26:56 - Customer 4 bought ticket: 2-1, Tickets available: 0
2024-12-05 12:26:56 - Vendor-3 added ticket: 3-2, Tickets available: 1
2024-12-05 12:26:56 - Vendor-2 added ticket: 2-2, Tickets available: 2
2024-12-05 12:26:56 - Vendor-1 added ticket: 1-2, Tickets available: 3
2024-12-05 12:26:56 - Vendor-4 added ticket: 4-2, Tickets available: 4
2024-12-05 12:26:57 - Vendor-3 added ticket: 3-3, Tickets available: 5
2024-12-05 12:26:57 - Vendor-2 added ticket: 2-3, Tickets available: 6
2024-12-05 12:26:57 - Vendor-1 added ticket: 1-3, Tickets available: 7
2024-12-05 12:26:57 - Vendor-4 added ticket: 4-3, Tickets available: 8
2024-12-05 12:26:58 - Customer 2 bought ticket: 3-2, Tickets available: 7
2024-12-05 12:26:58 - Customer 4 bought ticket: 2-2, Tickets available: 6
2024-12-05 12:26:58 - Customer 3 bought ticket: 1-2, Tickets available: 5
2024-12-05 12:26:58 - Customer 1 bought ticket: 4-2, Tickets available: 4
2024-12-05 12:26:58 - Vendor-2 added ticket: 2-4, Tickets available: 5
2024-12-05 12:26:58 - Vendor-1 added ticket: 1-4, Tickets available: 6
2024-12-05 12:26:58 - Vendor-3 added ticket: 3-4, Tickets available: 7
2024-12-05 12:26:58 - Vendor-4 added ticket: 4-4, Tickets available: 8
2024-12-05 12:26:59 - Vendor-1 added ticket: 1-5, Tickets available: 9
2024-12-05 12:26:59 - Vendor-3 added ticket: 3-5, Tickets available: 10
2024-12-05 12:26:59 - Vendor-2 tried to add tickets but the pool is full, waiting...
2024-12-05 12:26:59 - Vendor-4 tried to add tickets but the pool is full, waiting...
2024-12-05 12:27:00 - Customer 2 bought ticket: 3-3, Tickets available: 9
2024-12-05 12:27:00 - Vendor-2 added ticket: 2-5, Tickets available: 10
2024-12-05 12:27:00 - Vendor-4 tried to add tickets but the pool is full, waiting...
